city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Winnipeg,Mild.,Thu 10:47 pm,https://www.timeanddate.com/weather/canada/winnipeg,2026-09-04 03:47:52.737343+00:00,68,20.0,canada
Dhaka,Partly sunny. Warm.,Fri 9:47 am,https://www.timeanddate.com/weather/bangladesh/dhaka,2026-09-04 03:47:52.737343+00:00,86,30.0,bangladesh
Montréal,Partly cloudy. Mild.,Thu 11:47 pm,https://www.timeanddate.com/weather/canada/montreal,2026-09-04 03:47:52.737343+00:00,72,22.2,canada
Yangon,Partly sunny. Warm.,Fri 10:17 am,https://www.timeanddate.com/weather/myanmar/yangon,2026-09-04 03:47:52.737343+00:00,82,27.8,myanmar
Doha,Passing clouds. Hot.,Fri 6:47 am,https://www.timeanddate.com/weather/qatar/doha,2026-09-04 03:47:52.737343+00:00,91,32.8,qatar
Moscow,Passing clouds. Cool.,Fri 6:47 am,https://www.timeanddate.com/weather/russia/moscow,2026-09-04 03:47:52.737343+00:00,57,13.9,russia
Zagreb,Clear. Mild.,Fri 5:47 am,https://www.timeanddate.com/weather/croatia/zagreb,2026-09-04 03:47:52.737343+00:00,68,20.0,croatia
Dubai,Passing clouds. Extremely hot.,Fri 7:47 am,https://www.timeanddate.com/weather/united-arab-emirates/dubai,2026-09-04 03:47:52.737343+00:00,93,33.9,united-arab-emirates
Mumbai,Scattered clouds. Warm.,Fri 9:17 am,https://www.timeanddate.com/weather/india/mumbai,2026-09-04 03:47:52.737343+00:00,84,28.9,india
Zürich,Clear. Cool.,Fri 5:47 am,https://www.timeanddate.com/weather/switzerland/zurich,2026-09-04 03:47:52.737343+00:00,59,15.0,switzerland
